epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4766.51,1.16293,0.92666,1.04892,0.32799,0.53599,0.4691,0.19723,1.85691,1.41405,1.28875,0.00066175,0.00066175,0.00066175
43,4877.43,1.18105,0.9321,1.05575,0.33009,0.42752,0.41737,0.17084,1.90252,1.44329,1.27785,0.0006535,0.0006535,0.0006535
44,4982.31,1.16499,0.92851,1.05742,0.40631,0.4578,0.46001,0.1823,1.89197,1.3914,1.29449,0.00064525,0.00064525,0.00064525
45,5094.18,1.16086,0.91273,1.04547,0.46273,0.43362,0.45581,0.18911,1.82422,1.46274,1.26585,0.000637,0.000637,0.000637
46,5211.05,1.15468,0.92272,1.0436,0.33881,0.46543,0.47167,0.19583,1.83819,1.45902,1.27677,0.00062875,0.00062875,0.00062875
47,5323.12,1.169,0.91611,1.04525,0.36208,0.4754,0.43995,0.18427,1.81518,1.59293,1.24959,0.0006205,0.0006205,0.0006205
48,5429.03,1.16524,0.90402,1.04806,0.34684,0.48521,0.48752,0.20285,1.83877,1.41284,1.27007,0.00061225,0.00061225,0.00061225
49,5537.96,1.14192,0.89408,1.0381,0.3595,0.40267,0.40777,0.16862,1.84178,1.50342,1.25613,0.000604,0.000604,0.000604
50,5651.64,1.17219,0.88812,1.04001,0.35374,0.45939,0.43801,0.16956,1.9036,1.51869,1.29696,0.00059575,0.00059575,0.00059575
51,5769.48,1.15393,0.88709,1.04,0.40539,0.48385,0.49478,0.2063,1.83135,1.35387,1.25643,0.0005875,0.0005875,0.0005875
52,5882.09,1.17147,0.9014,1.04044,0.64981,0.46506,0.48679,0.21436,1.75552,1.47989,1.22542,0.00057925,0.00057925,0.00057925
53,5989.46,1.13549,0.86125,1.0297,0.35163,0.53338,0.48304,0.19136,1.90903,1.37224,1.29758,0.000571,0.000571,0.000571
54,6101.67,1.13851,0.85735,1.02893,0.33254,0.51218,0.45698,0.18574,1.86789,1.49674,1.28541,0.00056275,0.00056275,0.00056275
55,6211.41,1.12503,0.86869,1.03546,0.3687,0.52195,0.43263,0.18135,1.84675,1.51964,1.27191,0.0005545,0.0005545,0.0005545
56,6323.52,1.11998,0.86254,1.03827,0.41531,0.45167,0.46586,0.18714,1.81343,1.58953,1.26709,0.00054625,0.00054625,0.00054625
57,6439.44,1.12782,0.83919,1.02995,0.35279,0.49979,0.42486,0.18278,1.76803,1.47167,1.23137,0.000538,0.000538,0.000538
58,6555.89,1.13198,0.83486,1.02835,0.38814,0.51926,0.48697,0.20813,1.87896,1.35168,1.29811,0.00052975,0.00052975,0.00052975
59,6661.15,1.12959,0.84225,1.03046,0.37502,0.50554,0.51423,0.22353,1.78635,1.32715,1.23911,0.0005215,0.0005215,0.0005215
60,6771.77,1.12913,0.83615,1.02828,0.43816,0.4742,0.5276,0.22525,1.84561,1.4117,1.28017,0.00051325,0.00051325,0.00051325
61,6888.06,1.10237,0.8392,1.02653,0.45373,0.48536,0.59309,0.2705,1.73691,1.29944,1.22097,0.000505,0.000505,0.000505
62,6998.46,1.11161,0.81336,1.0194,0.36698,0.48193,0.52,0.21609,1.8848,1.47406,1.29657,0.00049675,0.00049675,0.00049675
63,7105.89,1.12436,0.84567,1.02208,0.36833,0.49964,0.49169,0.21227,1.78192,1.43067,1.26566,0.0004885,0.0004885,0.0004885
64,7221.47,1.12321,0.82989,1.01659,0.40191,0.52017,0.51058,0.21363,1.77465,1.42772,1.25505,0.00048025,0.00048025,0.00048025
65,7331.72,1.09314,0.82138,1.02072,0.47402,0.48414,0.53682,0.22693,1.80488,1.45812,1.26064,0.000472,0.000472,0.000472
66,7445.59,1.11297,0.82435,1.02456,0.67845,0.44592,0.50174,0.20412,1.93333,1.51486,1.31811,0.00046375,0.00046375,0.00046375
67,7554.55,1.09547,0.80798,1.01679,0.4107,0.4827,0.5238,0.22545,1.76288,1.42851,1.24378,0.0004555,0.0004555,0.0004555
68,7664.52,1.09467,0.79959,1.013,0.38333,0.50002,0.53451,0.22699,1.80666,1.47894,1.25053,0.00044725,0.00044725,0.00044725
69,7777.1,1.10696,0.80414,1.01898,0.4373,0.52571,0.54574,0.2245,1.82134,1.32373,1.26263,0.000439,0.000439,0.000439
70,7882.31,1.1133,0.81294,1.01935,0.48499,0.51249,0.56992,0.25361,1.76274,1.24681,1.23916,0.00043075,0.00043075,0.00043075
71,7985.73,1.06855,0.80514,1.0187,0.43586,0.50987,0.53682,0.2442,1.74727,1.52476,1.22461,0.0004225,0.0004225,0.0004225
72,8109.63,1.08225,0.79365,1.00261,0.3264,0.43792,0.43259,0.18568,1.80911,1.61663,1.24417,0.00041425,0.00041425,0.00041425
73,8224.3,1.10146,0.78856,1.00787,0.3428,0.52034,0.4515,0.20133,1.75727,1.57416,1.24103,0.000406,0.000406,0.000406
74,8337.1,1.09056,0.7968,1.01353,0.29371,0.4596,0.47128,0.21051,1.74886,1.53032,1.23068,0.00039775,0.00039775,0.00039775
75,8450.74,1.08571,0.77968,1.00863,0.32561,0.4823,0.47464,0.20806,1.72176,1.413,1.20924,0.0003895,0.0003895,0.0003895
76,8553.7,1.05994,0.78439,1.01442,0.35531,0.50914,0.49963,0.21956,1.72886,1.43506,1.21431,0.00038125,0.00038125,0.00038125
77,8659.54,1.06634,0.77287,1.01366,0.36174,0.49078,0.50664,0.23003,1.72205,1.50539,1.21517,0.000373,0.000373,0.000373
78,8773.89,1.07305,0.76795,0.99874,0.34956,0.48011,0.4978,0.22522,1.72629,1.48943,1.20601,0.00036475,0.00036475,0.00036475
79,8887.63,1.07999,0.75887,1.00278,0.61549,0.48468,0.49492,0.21669,1.73022,1.49776,1.21408,0.0003565,0.0003565,0.0003565
80,8989.47,1.05849,0.76617,1.00503,0.38438,0.47039,0.46958,0.19757,1.78475,1.50155,1.25182,0.00034825,0.00034825,0.00034825
81,9095.7,1.06146,0.76492,1.0009,0.65229,0.47832,0.50252,0.21634,1.79181,1.4564,1.2564,0.00034,0.00034,0.00034
82,9202.5,1.06882,0.75377,0.99993,0.64103,0.48678,0.49851,0.22639,1.69791,1.43202,1.21088,0.00033175,0.00033175,0.00033175
83,9313.38,1.04634,0.76342,1.00509,0.37533,0.4959,0.49691,0.23319,1.7191,1.49393,1.22475,0.0003235,0.0003235,0.0003235
84,9431.35,1.06611,0.74261,0.9988,0.3911,0.48819,0.50645,0.22821,1.77998,1.47098,1.25163,0.00031525,0.00031525,0.00031525
85,9543.87,1.0526,0.74696,0.99928,0.36137,0.50469,0.50184,0.22866,1.75974,1.41344,1.23853,0.000307,0.000307,0.000307
86,9657.78,1.04602,0.73199,0.99153,0.38769,0.42346,0.50334,0.22971,1.74769,1.41445,1.23553,0.00029875,0.00029875,0.00029875
